,C10_stdev,abs_C10-SVEC,above1,above2,above3
0,0.2715043643904107,0.2305263157894739,False,False,False
1,0.18878187543095362,0.4526315789473685,True,True,False
2,0.11756794725698932,0.453157894736842,True,True,False
3,0.2721766282381063,0.24631578947368427,False,False,False
4,0.1619147129479154,0.14315789473684104,False,False,False
5,0.30177351020589643,0.27315789473684216,False,False,False
6,0.18883298106221305,0.29157894736842127,True,False,False
7,0.470365044251591,0.46473684210526334,False,False,False
8,0.20216084152959293,0.4468421052631588,True,True,False
9,0.20676002418828257,0.45526315789473637,True,True,False
10,0.3082093159788334,0.19970760233918128,False,False,False
11,0.1796064573788029,0.5226315789473679,True,True,False
12,0.24417781843882516,0.258421052631579,True,False,False
13,0.2296450350111301,0.4326315789473676,True,False,False
14,0.22567118863540594,0.34947368421052627,True,False,False
15,0.18651779778050376,0.15210526315789563,False,False,False
16,0.28153090260716845,0.7515789473684205,True,True,False
17,0.1885137313316587,0.15526315789473655,False,False,False
18,0.21538215730234134,0.2857894736842108,True,False,False
19,0.19624993015978195,0.3626315789473695,True,False,False
20,0.2132181706705448,0.3926315789473682,True,False,False
21,0.16003471845543743,0.3805263157894734,True,True,False
22,0.21725291806868033,0.33999999999999986,True,False,False
23,0.19030907455938384,0.26473684210526327,True,False,False
24,0.15904503021920208,0.16789473684210543,True,False,False
25,0.16029030680655754,0.13736842105263136,False,False,False
26,0.4002126627664303,0.4731578947368421,True,False,False
27,0.14255192959612636,0.15736842105263182,True,False,False
28,0.29231581895562186,0.37105263157894747,True,False,False
29,0.20679678982204197,0.46052631578947567,True,True,False
30,0.11657389795408972,0.23947368421052673,True,True,False
31,0.250543269365915,0.5010526315789472,True,False,False
32,0.23513340744829436,0.17315789473684218,False,False,False
33,0.3667001579600876,0.33473684210526317,False,False,False
34,0.11514547117522146,0.1278947368421055,True,False,False
35,0.24405324891116195,0.33473684210526305,True,False,False
36,0.16647884153357925,0.3542105263157893,True,True,False
37,0.13537472359888195,0.2810526315789472,True,True,False
38,0.1100531503703222,0.3663157894736835,True,True,False
39,0.2895317857693007,0.6568421052631583,True,True,False
40,0.16789198699832464,0.8368421052631578,True,True,True
41,0.25901184239899916,0.41263157894736846,True,False,False
42,0.14889259836524185,0.2715789473684209,True,False,False
43,0.1372047601172438,0.19736842105263142,True,False,False
44,0.20799235253597737,0.3373684210526313,True,False,False
45,0.17113655161374972,0.3242105263157893,True,False,False
46,0.1411978827931324,0.31736842105263197,True,True,False
47,0.14700320241568834,0.28947368421052655,True,False,False
48,0.13467960681271712,0.39999999999999947,True,True,False
49,0.22453851308773093,0.18315789473684196,False,False,False
50,0.2302630075187479,0.16842105263157897,False,False,False
51,0.2117908334722188,0.25541666666666685,True,False,False
52,0.15793254907864787,0.49473684210526336,True,True,False
53,0.09058936333001803,0.15105263157894822,True,False,False
54,0.2979108544396838,0.4736842105263155,True,False,False
55,0.1345188523495012,0.1342105263157895,False,False,False
56,0.2920466196862676,0.2742397660818713,False,False,False
57,0.2657033037318789,0.6368421052631577,True,True,False
58,0.3775657324929544,0.5937132352941177,True,False,False
59,0.3466194299801528,0.23947368421052628,False,False,False
60,0.1697831434196978,0.18999999999999995,True,False,False
61,0.2795641971906939,0.3389473684210527,True,False,False
62,0.24368875748855504,0.2478947368421055,True,False,False
63,0.11507688759468399,0.188421052631579,True,False,False
64,0.3309131438488502,0.22368421052631593,False,False,False
65,0.3660840666563476,0.27,False,False,False
66,0.14513957791044932,0.1363157894736844,False,False,False
67,0.15009158997131372,0.20263157894736805,True,False,False
68,0.39492393227139544,0.7915789473684206,True,True,False
69,0.2343998183740789,0.2184210526315789,False,False,False
70,0.4481773272563736,0.5006250000000001,True,False,False
71,0.2893711673864897,0.4452631578947369,True,False,False
72,0.4434199384669857,0.413888888888889,False,False,False
73,0.23304744390598048,0.20052631578947366,False,False,False
74,0.2636129982863081,0.442105263157895,True,False,False
75,0.25127627441099837,0.30263157894736836,True,False,False
76,0.22831444408998086,0.34999999999999964,True,False,False
77,0.23940471984286554,0.40421052631578913,True,False,False
78,0.19708548921338565,0.4405263157894743,True,True,False
79,0.3570067242638304,0.2347368421052632,False,False,False
80,0.16757122950872075,0.21578947368421098,True,False,False
81,0.37705305442066533,0.8000000000000005,True,True,False
82,0.1047693093760501,0.13263157894736732,True,False,False
83,0.4329012690809878,0.4068421052631579,False,False,False
84,0.16203024769959049,0.2078947368421049,True,False,False
85,0.19435302780045563,0.2347368421052632,True,False,False
86,0.228482151528848,0.19526315789473692,False,False,False
87,0.3336095346920212,0.23894736842105269,False,False,False
88,0.15477204516614843,0.12368421052631595,False,False,False
89,0.18224557688020213,0.3205263157894731,True,False,False
90,0.41313542858600394,0.3799999999999998,False,False,False
91,0.25403958571669716,0.518888888888889,True,True,False
92,0.2713352299601802,0.3510526315789473,True,False,False
93,0.19778155591371285,0.38736842105263175,True,False,False
94,0.18613646506187603,0.11368421052631561,False,False,False
95,0.2925457928866394,0.2668421052631579,False,False,False
96,0.13463835033197993,0.20473684210526333,True,False,False
97,1.3410863134041746,1.132941176470588,False,False,False
98,0.19049182266681153,0.1673684210526316,False,False,False
99,0.23332600721099578,0.37506410256410283,True,False,False
100,0.10895838574685934,0.13736842105263136,True,False,False
101,0.1694452593212119,0.10947368421052683,False,False,False
102,0.24933713291034937,0.22210526315789475,False,False,False
103,0.3525438050837427,0.8442105263157896,True,True,False
104,0.1060398248039124,0.17842105263157926,True,False,False
105,0.18918569731926205,0.1957894736842104,True,False,False
106,0.17510230927503578,0.20157894736842064,True,False,False
107,0.15264337522473748,0.20315789473684198,True,False,False
108,0.24940514023694096,0.27789473684210475,True,False,False
109,0.21177197269953507,0.22473684210526312,True,False,False
110,0.3431391036364764,0.40388888888888874,True,False,False
111,0.19822310072445826,0.32842105263157895,True,False,False
112,0.14381193046833507,0.2863157894736841,True,False,False
113,0.2220413006205975,0.29105263157894734,True,False,False
114,0.17948268743173895,0.25736842105263147,True,False,False
115,0.21966747863439104,0.16684210526315812,False,False,False
116,0.1686617432191752,0.2778947368421054,True,False,False
117,0.18331259850847628,0.23736842105263123,True,False,False
118,0.11507688759468401,0.21999999999999975,True,False,False
119,0.17417474588832663,0.10631578947368459,False,False,False
120,0.2585338780157667,0.17157894736842083,False,False,False
121,0.253477567435429,0.3294736842105257,True,False,False
122,0.18991995851746296,0.15210526315789466,False,False,False
123,0.2727840008341969,0.2963157894736841,True,False,False
124,0.2412216383077579,0.3888095238095237,True,False,False
125,0.13193344059994042,0.21473684210526356,True,False,False
126,0.24763087980213402,0.25,True,False,False
127,0.23762838942766987,0.21894736842105267,False,False,False
128,0.15596708304687895,0.20526315789473681,True,False,False
129,0.37865567070765543,0.25789473684210584,False,False,False
130,0.25551347225327276,0.45894736842105266,True,False,False
131,0.15851651453434418,0.4236842105263158,True,True,False
132,0.1620789642219954,0.17894736842105297,True,False,False
133,0.12725165011166006,0.18105263157894713,True,False,False
134,0.23103251587560755,0.16105263157894711,False,False,False
135,0.14911630532782083,0.16736842105263183,True,False,False
136,0.5768111572352871,0.44263157894736815,False,False,False
